Label,Type,CLO_C,CLO_M,CL_C,CL_M,UBERON_C,UBERON_M,BTO_C,BTO_M
Lens Epithelial Cells donor3,CT,-,-,lens epithelial cell,lens epithelial cell,epithelium of lens,epithelium of lens,human lens epithelial cell line,human lens epithelial cell line
Im-GCT-3504_G34W,CT,-,-,-,neoplastic cell,bone tissue,distal epiphysis of femur,-,giant cell tumor cell line
CD8_Naive_Primary_Cells,CT,-,-,"naive thymus-derived CD8-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell",thymus,blood plasma,naive T-lymphocyte,naive T-lymphocyte
MPAL5_T1,CT,-,-,hematopoietic cell,obsolete T lymphoblast,blood,bone marrow,T-cell acute lymphoblastic leukemia cell,T-cell acute lymphoblastic leukemia cell
CD14+ monocytes - treated with IFN + N-hexane donor2,CT,-,-,CD14-positive monocyte,CD14-positive monocyte,blood,blood,monocyte,monocyte
Fibroblast - Cardiac donor3,CT,-,-,fibroblast of cardiac tissue,fibroblast of cardiac tissue,heart,heart,cardiofibroblast,cardiofibroblast
CD19donorA,CT,-,-,"B cell, CD19-positive","B cell, CD19-positive",blood,blood,B-lymphocyte,B-lymphocyte
CD4-pos,CT,-,-,CD4-positive helper T cell,CD4-positive helper T cell,immune system,-,helper T-lymphocyte,helper T-lymphocyte
CD3,CT,-,-,mature T cell,lymphocyte,immune system,lymphoid tissue,T-lymphocyte,T-lymphocyte
High-grade serous ovarian cancer,CT,-,-,ovarian surface epithelial cell,ovarian surface epithelial cell,ovary,ovary,ovarian serous carcinoma cell,ovarian serous carcinoma cell
hepatocyte,CT,-,-,hepatocyte,hepatocyte,liver,liver,hepatocyte,hepatocyte
tamoxifen_EC5,CT,-,-,epithelial cell of uterus,epithelial cell of uterus,endometrium,blood vessel endothelium,endothelial cell,endothelial cell
HBE,CT,-,-,bronchial epithelial cell,bronchial epithelial cell,bronchus,bronchus,bronchial epithelial cell,bronchial epithelial cell
Pancreatic_tumor_associated_fibroblasts_B009B_untreated,CT,-,-,pancreatic stellate cell,fibroblast,pancreas,pancreas,-,fibroblast
Normal Human Astrocyte,CT,-,-,astrocyte,astrocyte,central nervous system,neural tissue,astrocyte,astrocyte
Endothelial Cells - Microvascular donor1,CT,-,-,microvascular endothelial cell,microvascular endothelial cell,microvascular endothelium,microvascular endothelium,microvascular endothelial cell,microvascular endothelial cell
Skeletal Muscle Cells donor5,CT,-,-,cell of skeletal muscle,cell of skeletal muscle,skeletal muscle tissue,skeletal muscle tissue,skeletal muscle cell,skeletal muscle cell
EX_cerebrum_7,CT,-,-,neuron,glutamatergic neuron,brain,-,neuron,neuron
Pericytes donor2,CT,-,-,pericyte,pericyte,connective tissue,microvascular endothelium,pericyte,pericyte
Endothelial Cells - Thoracic donor1,CT,-,-,endothelial cell,endothelial cell,endothelium,obsolete region of thorax,endothelial cell,endothelial cell
Antigen_presenting_thymus,CT,-,-,thymic conventional dendritic cell,thymic conventional dendritic cell,thymus,thymus,thymic dendritic cell,thymic dendritic cell
Acinar_pancreas,CT,-,-,pancreatic acinar cell,pancreatic acinar cell,pancreas,pancreas,pancreatic acinar cell,pancreatic acinar cell
CNCC,CT,-,-,neural crest cell,neural crest cell,cranial neural crest,cranial neural crest,neural crest cell,neural crest cell
Sympathoblasts_adrenal,CT,-,-,pluripotent stem cell,neural crest derived neuroblast,embryo,adrenal medulla,-,neural crest cell
Thymocytes_thymus_0,CT,-,-,thymocyte,thymocyte,thymus,thymus,thymocyte,thymocyte
Medulloblastoma Cell Lines,CT,-,-,neural cell,cerebellar granule cell,cerebellum,cerebellum,medulloblastoma cell line,medulloblastoma cell line
CD4+ T Cells donor1,CT,-,-,CD4-positive helper T cell,CD4-positive helper T cell,immune system,venous blood,helper T-lymphocyte,helper T-lymphocyte
Vascular_endothelial_adrenal,CT,-,-,endothelial cell of vascular tree,endothelial cell of vascular tree,adrenal gland,adrenal gland,adrenal gland,adrenal gland
pulmonary arterial smooth muscle cells_PAH2_sictrl,CT,-,-,smooth muscle cell of the pulmonary artery,smooth muscle cell of the pulmonary artery,artery smooth muscle tissue,artery smooth muscle tissue,pulmonary artery smooth muscle cell,pulmonary artery smooth muscle cell
Club-C,CT,-,-,club cell,lung secretory cell,lung,terminal bronchiole epithelium,secretory cell,secretory cell
GMP_BM0828,CT,-,-,granulocyte monocyte progenitor cell,granulocyte monocyte progenitor cell,bone marrow,bone marrow,bone marrow-derived macrophage,bone marrow-derived macrophage
PB1022_mono_singles,CT,-,-,monocyte,monocyte,blood,blood,monocyte,monocyte
Hindbrain derived neural stem cells_NS13_H3.3K27M_WT,CT,-,-,neural stem cell,neural stem cell,hindbrain,hindbrain,neural stem cell,neural stem cell
Smooth Muscle Cells - Umbilical Artery donor1,CT,-,-,smooth muscle cell of the umbilical artery,smooth muscle cell of the umbilical artery,umbilical smooth muscle,umbilical smooth muscle,vascular smooth muscle cell,vascular smooth muscle cell
HCASMC_Human_coronary_artery_smooth_muscle_cells,CT,-,-,smooth muscle cell of the coronary artery,smooth muscle cell of the coronary artery,artery smooth muscle tissue,artery smooth muscle tissue,coronary artery smooth muscle cell,coronary artery smooth muscle cell
Fibroblast - Gingival donor2,CT,-,-,fibroblast,fibroblast,gingiva,gingiva,gingival fibroblast,gingival fibroblast
Fibroblast - Dermal donor3,CT,-,-,fibroblast of dermis,fibroblast of dermis,dermis,dermis,dermal fibroblast,dermal fibroblast
CD8 Memory 7pool,CT,-,-,"CD8-positive, alpha-beta memory T cell","CD8-positive, alpha-beta memory T cell",immune system,-,-,-
CD14+ monocyte (PB),CT,-,-,CD14-positive monocyte,CD14-positive monocyte,blood,blood,monocyte,monocyte
NK_cells_G,CT,-,-,natural killer cell,natural killer cell,immune system,venous blood,natural killer cell,natural killer cell
Matrix_Fibrob_2_E,CT,-,-,fibroblast,fibroblast,connective tissue,-,fibroblast,fibroblast
Peripheral Blood Mononuclear Cells donor1,CT,-,-,peripheral blood mononuclear cell,peripheral blood mononuclear cell,blood,blood,peripheral blood mononuclear cell,peripheral blood mononuclear cell
myotube originated from skeletal muscle myoblast,CT,-,-,myotube,myotube,muscle structure,muscle structure,skeletal muscle cell,skeletal muscle cell
Nucleus Pulposus Cell donor3,CT,-,-,chondrocyte,nucleus pulposus cell of intervertebral disc,nucleus pulposus,nucleus pulposus,HNPC cell,nucleus pulposus cell line
MEP-CD34,CT,-,-,megakaryocyte-erythroid progenitor cell,megakaryocyte-erythroid progenitor cell,bone marrow,hematopoietic tissue,erythroid progenitor cell,erythroid progenitor cell
Tumor_3_BCC,CT,-,-,neoplastic cell,basal cell of epidermis,-,skin epidermis,-,basal cell carcinoma cell
B_C,CT,-,-,B cell,lymphocyte of B lineage,blood,lymphomyeloid tissue,B-lymphocyte,B-lymphocyte
Stromal_lung_8,CT,-,-,stromal cell,-,lung,lung,mesenchymal stromal cell,mesenchymal stromal cell
Club-D,CT,-,-,club cell,club cell,lung,terminal bronchiole epithelium,Clara cell,Clara cell
Goblet_stomach,CT,-,-,gastric goblet cell,gastric goblet cell,stomach,stomach,goblet cell,goblet cell
Smooth Muscle Cells - Internal Thoracic Artery donor3,CT,-,-,smooth muscle cell of the internal thoracic artery,smooth muscle cell of the internal thoracic artery,thoracic aorta smooth muscle tissue,thoracic aorta smooth muscle tissue,vascular smooth muscle cell,vascular smooth muscle cell
umbilical-cord-derived-mesenchymal-stem-cells_SGA_cycle_0,CT,-,-,mesenchymal stem cell,mesenchymal stem cell,umbilical cord,umbilical cord,mesenchymal stem cell,mesenchymal stem cell
Granule_n_cerebellum,CT,-,-,cerebellar granule cell,cerebellar granule cell,cerebellum,cerebellum,cerebellar granule cell,cerebellar granule cell
Prostate Epithelial Cells donor2,CT,-,-,epithelial cell of prostate,epithelial cell of prostate,prostate gland,prostate gland,prostate cancer cell line,prostate cancer cell line
mesenchymal precursor cell - ovarian cancer metastasis donor4,CT,-,-,mesenchymal stem cell,mesenchymal stem cell,ovary,-,mesenchymal stem cell,mesenchymal stem cell
hepatocellular-carcinoma-cell,CT,-,-,hepatocyte,hepatocyte,liver,liver,hepatoma cell,hepatoma cell
Bronchial Epithelial Cell donor6,CT,-,-,bronchial epithelial cell,bronchial epithelial cell,bronchus,bronchus,bronchial epithelial cell,bronchial epithelial cell
NK_1_BCC,CT,-,-,natural killer cell,natural killer cell,immune system,stratum basale of epidermis,natural killer cell,natural killer cell
neuron-progenitor,CT,-,-,neural progenitor cell,neural progenitor cell,nervous system,-,-,neural stem cell
STAD,CT,-,-,glandular epithelial cell of stomach,glandular epithelial cell of stomach,stomach,stomach,gastric adenocarcinoma cell,gastric adenocarcinoma cell line
Human Monocytes/Macrophages,CT,-,-,macrophage,monocyte,blood,-,macrophage,macrophage
Cardiac progenitor cells,CT,-,-,muscle precursor cell,muscle precursor cell,heart,embryonic cardiovascular system,-,-
Th2_t-infiltrating,CT,-,-,T-helper 2 cell,T-helper 2 cell,immune system,tissue,Th2 cell,Th2 cell
ILC3,CT,-,-,group 3 innate lymphoid cell,group 3 innate lymphoid cell,immune system,lamina propria of small intestine,lymphoid cell,lymphoid cell
Preadipocyte - omental donor3,CT,-,-,preadipocyte,preadipocyte,omental fat pad,visceral abdominal adipose tissue,preadipocyte,preadipocyte
MPAL4_T1_4,CT,-,-,hematopoietic cell,blastemal cell,blood,hematopoietic tissue,acute undifferentiated leukemia cell,acute undifferentiated leukemia cell
CD14_Mono,CT,-,-,CD14-positive monocyte,CD14-positive monocyte,blood,blood,monocyte,monocyte
IIDP/donor790,CT,-,-,pancreatic endocrine cell,pancreatic endocrine cell,endoderm,islet of Langerhans,pancreatic islet cell,pancreatic islet cell
BI_CD8_Memory_7pool,CT,-,-,"CD8-positive, alpha-beta memory T cell","CD8-positive, alpha-beta memory T cell, CD45RO-positive",immune system,blood,memory T-lymphocyte,memory T-lymphocyte
Adipocyte - subcutaneous donor2,CT,-,-,subcutaneous adipocyte,subcutaneous adipocyte,subcutaneous adipose tissue,subcutaneous adipose tissue,-,white adipocyte
trophoblast__SynT,CT,-,-,trophoblast cell,trophoblast cell,trophoblast,placenta,trophoblast,trophoblast
Smooth Muscle Cells - Esophageal donor1,CT,-,-,smooth muscle cell,smooth muscle cell,smooth muscle of esophagus,smooth muscle of esophagus,smooth muscle cell,smooth muscle cell
primary-monocyte,CT,-,-,monocyte,monocyte,blood,blood,monocyte,monocyte
Bone_marrow_derived_macrophage,CT,-,-,macrophage,macrophage,bone marrow,bone marrow,macrophage,macrophage
Myeloid_placenta_2,CT,-,-,myeloid cell,myeloid cell,placenta,placenta,myeloid cell line,myeloid cell line
pDC,CT,-,-,plasmacytoid dendritic cell,plasmacytoid dendritic cell,blood,lymphomyeloid tissue,plasmacytoid dendritic cell,plasmacytoid dendritic cell
MLS 1765-92,CT,-,-,adipocyte,-,adipose tissue,-,-,-
B lymphoblastoid Cell,CT,-,-,B-lymphoblast,immature B cell,blood,secondary nodular lymphoid tissue,B-lymphoblastoid cell,B-lymphoblastoid cell line
astrocyte_of_the_spinal_cord,CT,-,-,astrocyte of the spinal cord,astrocyte of the spinal cord,spinal cord,spinal cord,astrocyte,astrocyte
hMGLs_WT,CT,-,-,glial cell,glial cell,brain,central nervous system,glial cell,microglia
Hair Follicle Dermal Papilla Cells donor2,CT,-,-,hair follicle dermal papilla cell,hair follicle dermal papilla cell,hair follicle,dermal papilla,hair follicle dermal papilla cell,hair follicle dermal papilla cell
CHLA-10,CT,-,-,bone cell,-,bone tissue,adrenal medulla,neuroblastoma cell line,neuroblastoma cell line
CD4+CD25+CD45RA- memory regulatory T cells expanded donor3,CT,-,-,memory regulatory T cell,memory regulatory T cell,immune system,lymph node T cell domain,-,-
Chondrocyte - re diff donor3,CT,-,-,chondrocyte,chondrocyte,cartilage tissue,cartilage tissue,chondrocyte,chondrocyte
CD8+ T Cells donor2,CT,-,-,"CD8-positive, alpha-beta T cell","CD8-positive, alpha-beta T cell",immune system,venous blood,cytotoxic T-lymphocyte,cytotoxic T-lymphocyte
CD4_ab_T_Th,CT,-,-,CD4-positive helper T cell,CD4-positive helper T cell,immune system,-,helper T-lymphocyte,culture condition:CD4+ cell
Smooth Muscle Cells - Tracheal donor1,CT,-,-,tracheobronchial smooth muscle cell,tracheobronchial smooth muscle cell,smooth muscle of trachea,smooth muscle of trachea,tracheal smooth muscle cell,tracheal smooth muscle cell
Gingival epithelial cells donor3 (GEA15),CT,-,-,gingival epithelial cell,gingival epithelial cell,gingival epithelium,gingival epithelium,oral epithelial cell,oral epithelial cell
Astrocyte_Oligo_1,CT,-,-,glial cell,astrocyte,brain,central nervous system,-,neuron-oligodendrocyte coculture
primordial-germ-cell-like-cell,CT,-,-,primordial germ cell,primordial germ cell,gonad,gonad,-,embryonic germ cell
Excitatory_neur_cerebrum_7,CT,-,-,neuron,glutamatergic neuron,brain,-,-,pyramidal neuron
Stromal_intestine_3,CT,-,-,stromal cell,stromal cell of lamina propria of small intestine,intestine,intestine,stromal cell,stromal cell
Synoviocyte donor2,CT,-,-,synovial cell,fibroblast,synovial bursa,synovial bursa,synoviocyte,fibroblast-like synoviocyte
neutrophils,CT,-,-,neutrophil,neutrophil,blood,blood,neutrophil,neutrophil
HMEC_human_mammary_epithelial_cells,CT,-,-,mammary gland epithelial cell,mammary gland epithelial cell,breast,mammary gland,mammary epithelial cell,mammary epithelial cell
T_cell_C,CT,-,-,T cell,T cell,blood,T cell domain,T-lymphocyte,T1 cell
Day6 Plasmablast CD23- memory B cell,CT,-,-,plasmablast,CD86-positive plasmablast,immune system,-,plasma cell,plasma cell
Pre_B_healthy,CT,-,-,precursor B cell,precursor B cell,bone marrow,bone marrow,pre-B-lymphocyte,pre-B-lymphocyte
Ciliated_cells_C,CT,-,-,ciliated cell,multiciliated epithelial cell,lung,epithelium of bronchus,-,nonpigmented ciliary epithelial cell
Myeloid_heart,CT,-,-,myeloid cell,myeloid cell,heart,cardiac muscle tissue,myeloid cell line,bone marrow-derived macrophage
neutrophils_US,CT,-,-,neutrophil,neutrophil,blood,blood,neutrophil,neutrophil
breast_tumour_metastasis,CT,-,-,luminal epithelial cell of mammary gland,luminal epithelial cell of mammary gland,breast,mammary gland,breast cancer cell,mammary ductal carcinoma cell
SGBS_adipocyte,CT,-,-,adipocyte,white adipocyte,adipose tissue,adipose tissue,-,white adipocyte
HUES64 derived CD184+ endoderm,CT,-,-,endodermal cell,endodermal cell,endoderm,endoderm,endoderm,endoderm
primary-prostate-cancer,CT,-,-,epithelial cell of prostate,epithelial cell of prostate,prostate gland,prostate gland,prostate cancer cell line,prostate cancer cell line
Matrix_Fibrob_2_F,CT,-,-,fibroblast,fibroblast,connective tissue,connective tissue,fibroblast,fibroblast
migratory langerhans cells donor1,CT,-,-,Langerhans cell,Langerhans cell,islet of Langerhans,skin epidermis,Langerhans cell,Langerhans cell
lower_leg_skin,CT,-,-,epithelial cell,-,lower leg skin,lower leg skin,-,keratinocyte
GBM34,CT,GBM cell,-,glial cell,glioblast,brain,cingulum of brain,glioblastoma multiforme cancer stem cell,glioblastoma multiforme cancer stem cell
NHEK-epidermal keratinocyte,CT,-,-,keratinocyte,-,skin epidermis,skin epidermis,NHEK cell,keratinocyte
CRC_myeloid_1,CT,-,-,myeloid cell,myeloid cell,blood,colorectum,myeloid cell line,myeloid cell line
Foreskin Fibroblast Primary Cells skin02,CT,-,-,foreskin fibroblast,foreskin fibroblast,prepuce of penis,prepuce of penis,foreskin fibroblast cell line,foreskin fibroblast cell line
Lymphoid_intestine_0,CT,-,-,lymphocyte,lymphocyte,intestine,small intestine Peyer's patch,lymphoid cell,lymphoid cell
Th17-IL-10+ Day 0,CT,-,-,T-helper 17 cell,T-helper 17 cell,immune system,-,Th17 cell,Th17 cell
CD34,CT,-,-,hematopoietic stem cell,"CD34-positive, CD38-negative hematopoietic stem cell",bone marrow,bone marrow,hematopoietic stem cell,hematopoietic stem cell
Thymic_epithelial_thymus,CT,-,-,epithelial cell of thymus,epithelial cell of thymus,thymus,thymus,thymic cortical epithelial cell,thymic cortical epithelial cell
BI_Adipose_Nuclei,CT,-,-,adipocyte,adipocyte,adipose tissue,adipose tissue,adipocyte,adipocyte
Primary T cells from cord blood,CT,-,-,T cell,"activated CD4-positive, alpha-beta T cell, human",umbilical cord blood,umbilical cord blood,T-lymphocyte,T-lymphocyte
CD14-positive-monocyte,CT,-,-,CD14-positive monocyte,CD14-positive monocyte,blood,blood,monocyte,monocyte
effector memory CD4+ alpha-beta T cell,CT,-,-,"effector memory CD4-positive, alpha-beta T cell","effector memory CD4-positive, alpha-beta T cell",immune system,T cell domain,memory T-lymphocyte,memory T-lymphocyte
Mesothelial_intestine,CT,-,-,mesothelial cell,mesothelial cell of small intestine,intestine,intestine,-,-
monocyte-derived dendritic cells_R848_1h,CT,-,-,dendritic cell,dendritic cell,immune system,blood,dendritic cell,dendritic cell
CD14+ monocytes - treated with Cryptococcus donor3,CT,-,-,CD14-positive monocyte,CD14-positive monocyte,blood,blood,monocyte,monocyte
Primary T cells from?peripheral?blood,CT,-,-,T cell,lymphocyte,blood,blood,T-lymphocyte,T-lymphocyte
primaryhepatocyte-gw4064,CT,-,-,hepatocyte,hepatocyte,liver,liver,hepatocyte,hepatocyte
surface_ectoderm_cells,CT,-,-,surface ectodermal cell,surface ectodermal cell,ectoderm,ectoderm,ectoderm,ectoderm
RPE1-anaphase/telophase,CT,-,-,retinal pigment epithelial cell,retinal pigment epithelial cell,retina,retina,retinal pigment epithelium cell,retinal pigment epithelium cell
Plasma_B_BCC,CT,-,-,plasma cell,antibody secreting cell,immune system,stratum basale of epidermis,plasma cell,B-lymphocyte
Hair Follicle Dermal Papilla Cells donor1,CT,-,-,hair follicle dermal papilla cell,hair follicle dermal papilla cell,hair follicle,dermal papilla,hair follicle dermal papilla cell,hair follicle dermal papilla cell
endometrioid_adenocarcinoma,CT,-,-,epithelial cell of uterus,epithelial cell of uterus,endometrium,endometrium,uterine adenocarcinoma cell,uterine adenocarcinoma cell
bipolar_spindle_neuron,CT,-,-,bipolar neuron,von Economo neuron,nervous system,anterior cingulate cortex,-,medium spiny neuron
Epidermal-Stem-Cells_shCTRL,CT,-,-,stem cell of epidermis,stem cell of epidermis,skin epidermis,skin epidermis,epidermal stem cell,epidermal stem cell
Schwann_heart,CT,-,-,Schwann cell,Schwann cell,heart,cardiac muscle tissue,Schwann cell,Schwann cell
Nucleus Pulposus Cell donor1,CT,-,-,chondrocyte,nucleus pulposus cell of intervertebral disc,nucleus pulposus,nucleus pulposus,HNPC cell,nucleus pulposus cell line
neural-cell,CT,-,-,neural cell,neural cell,nervous system,nervous system,-,neuron
Placental Epithelial Cells donor1,CT,-,-,placental epithelial cell,chorionic trophoblast cell,placenta,placenta,-,trophoblast stem cell
foreskin_keratinocyte,CT,-,-,foreskin keratinocyte,foreskin keratinocyte,prepuce of penis,prepuce of penis,foreskin keratinocyte cell line,foreskin keratinocyte cell line
CD8_H9RET,CT,-,-,"CD8-positive, alpha-beta T cell","CD8-positive, alpha-beta T cell",immune system,-,cytotoxic T-lymphocyte,cytotoxic T-lymphocyte
Neutrophils donor1,CT,-,-,neutrophil,neutrophil,blood,blood,neutrophil,neutrophil
CD8_ab_T_CB,CT,-,-,"CD8-positive, alpha-beta T cell","CD8-positive, alpha-beta T cell",blood,umbilical cord blood,cytotoxic T-lymphocyte,culture condition:CD8+ cell
